Playing : bonk : ./audio/bonk/bonk.mp3 | at [15:1:53 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : bruh : ./audio/bruh/bruh.mp3 | at [15:1:58 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : cena : ./audio/cena/jc_full.mp3 | at [15:2:0 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : cena : ./audio/cena/jc_full.mp3 | at [15:2:4 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : cena : ./audio/cena/jc_full.mp3 | at [15:2:6 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : cena : ./audio/cena/jc_spam.mp3 | at [15:2:8 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : cmoi : ./audio/cmoi/cmoi.mp3 | at [15:2:14 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : combien : ./audio/combien/combien.mp3 | at [15:2:18 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : conseil : ./audio/conseil/conseil.mp3 | at [15:2:21 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : corrompu : ./audio/corrompu/corrompu.mp3 | at [15:2:24 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : ctsur : ./audio/ctsur/ctsur.mp3 | at [15:2:29 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : decide : ./audio/decide/decide.mp3 | at [15:2:32 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : dehors : ./audio/dehors/dehors.mp3 | at [15:2:36 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : drip : ./audio/drip/drip.mp3 | at [15:2:39 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : encore : ./audio/encore/encore.mp3 | at [15:2:44 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : etchebest : ./audio/etchebest/etchebest.mp3 | at [15:2:50 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : fanta : ./audio/fanta/decide.mp3 | at [15:2:56 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : fanta : ./audio/fanta/decide.mp3 | at [15:2:58 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : fanta : ./audio/fanta/tg2.mp3 | at [15:2:59 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : giorno : ./audio/giorno/giorno.mp3 | at [15:3:5 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : goodenough : ./audio/goodenough/goodenough.mp3 | at [15:3:9 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : guerre : ./audio/guerre/claguerre.mp3 | at [15:3:12 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : guez : ./audio/guez/guez.mp3 | at [15:3:15 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : henni : ./audio/henni/nuuul.mp3 | at [15:3:18 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : henni : ./audio/henni/nuuul.mp3 | at [15:3:21 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : henni : ./audio/henni/nuuul.mp3 | at [15:3:23 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : henni : ./audio/henni/nulnulnul.mp3 | at [15:3:26 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : jerome : ./audio/jerome/jerome.mp3 | at [15:3:31 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : maillonfaible : ./audio/maillonfaible/maillonfaible.mp3 | at [15:3:37 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : melokrik : ./audio/melokrik/melokrik.mp3 | at [15:3:40 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : non : ./audio/non/non.mp3 | at [15:10:26 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : nulnulnul : ./audio/nulnulnul/nulnulnul.mp3 | at [15:10:31 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : nuuul : ./audio/nuuul/nuuul.mp3 | at [15:10:36 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : openthedoor : ./audio/openthedoor/door.mp3 | at [15:10:43 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : revenu : ./audio/revenu/revenu.mp3 | at [15:10:46 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : risque : ./audio/risque/risque.mp3 | at [15:10:54 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : rompiche : ./audio/rompiche/rompiche.mp3 | at [15:10:58 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : salva : ./audio/salva/balec.mp3 | at [15:11:2 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : salva : ./audio/salva/risque.mp3 | at [15:11:7 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : salva : ./audio/salva/risque.mp3 | at [15:11:10 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : salva : ./audio/salva/risque.mp3 | at [15:11:11 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : salva : ./audio/salva/balec.mp3 | at [15:11:12 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : scoop : ./audio/scoop/scoop.mp3 | at [15:11:18 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : sins : ./audio/sins/sins.mp3 | at [15:11:20 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tg : ./audio/tg/tg2.mp3 | at [15:11:23 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tg : ./audio/tg/tg1.mp3 | at [15:11:25 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tire : ./audio/tire/tire.mp3 | at [15:11:31 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tire : ./audio/tire/tire.mp3 | at [15:11:40 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tg : ./audio/tg/tg2.mp3 | at [15:11:44 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tg : ./audio/tg/tg2.mp3 | at [15:11:46 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tg : ./audio/tg/tg2.mp3 | at [15:11:48 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : tg : ./audio/tg/tg1.mp3 | at [15:11:50 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : trop : ./audio/trop/tropctrop.mp3 | at [15:11:56 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : vastefaire : ./audio/vastefaire/vastefaire.mp3 | at [15:11:59 - 12 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
